平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
5.47,14.30,4.83,-2.67,0.88,0.43,0.43,5.03,6.07
2.38,10.30,10.30,-3.07,0.90,0.11,0.33,4.09,4.30
16.68,20.77,1.64,-1.71,0.26,0.54,0.46,7.82,2.27
17.61,28.68,1.46,-1.43,0.42,0.34,0.34,14.29,1.63
0.60,10.88,2.90,-1.90,0.96,0.04,0.05,2.41,1.24
4.30,35.37,1.29,-1.83,0.88,0.09,0.05,11.77,0.98
20.39,29.31,3.28,-4.56,0.32,0.50,0.29,15.45,4.17
6.68,13.90,1.72,-1.23,0.74,0.35,0.38,5.37,1.91
35.27,39.99,2.41,-3.34,0.13,0.51,0.33,17.42,3.29
2.93,15.65,2.39,-1.40,0.84,0.08,0.14,5.89,1.25
20.87,22.34,2.57,-1.66,0.09,0.44,0.53,7.13,3.78
9.97,10.20,0.20,0.0,0.67,1.00,0.00,0.21,0.14
4.36,17.34,3.36,-1.59,0.75,0.11,0.17,7.78,1.84
40.35,47.35,1.10,-1.00,0.15,0.41,0.42,22.52,1.57
23.14,23.26,1.23,-1.20,0.01,0.52,0.40,9.23,2.32
23.38,25.81,2.27,-1.77,0.12,0.45,0.49,10.43,2.38
19.98,26.36,1.41,-1.67,0.27,0.52,0.42,12.75,2.06
38.99,39.39,1.04,-1.22,0.01,0.52,0.43,9.70,1.59
15.81,23.42,0.93,-1.47,0.35,0.43,0.26,12.24,1.19
8.74,10.73,1.17,-0.53,0.80,0.29,0.50,1.25,0.87
25.08,32.26,1.18,-1.12,0.23,0.44,0.33,15.60,1.33
3.49,10.80,3.60,-3.07,0.91,0.30,0.30,4.01,2.78
7.34,23.31,2.72,-2.78,0.73,0.24,0.22,10.26,2.74
25.84,29.06,1.24,-0.95,0.11,0.38,0.42,10.76,1.42
52.48,55.35,1.30,-1.52,0.05,0.49,0.41,18.43,2.86
20.17,25.61,2.92,-1.55,0.22,0.31,0.51,11.92,4.91
39.31,50.92,1.18,-1.48,0.23,0.46,0.30,24.29,1.98
46.68,60.13,1.18,-2.17,0.23,0.48,0.24,28.52,3.28
81.55,83.04,0.72,-1.05,0.02,0.51,0.34,19.80,1.87
4.50,12.35,1.82,-1.70,0.66,0.29,0.07,5.97,1.59
7.55,11.15,1.23,-1.20,0.85,0.50,0.33,2.08,1.23
9.99,10.73,0.46,-0.40,0.50,0.71,0.29,0.88,0.48
2.57,22.79,2.48,-3.46,0.89,0.07,0.04,7.42,1.32
40.29,40.65,1.68,-2.20,0.01,0.55,0.41,14.03,2.69
4.23,13.43,1.87,-1.92,0.90,0.37,0.32,4.23,1.86
20.09,20.55,1.43,-0.58,0.04,0.26,0.62,5.19,1.36
5.35,19.04,2.02,-1.95,0.73,0.17,0.14,8.70,1.46
9.04,11.00,2.00,-0.70,0.60,0.50,0.25,1.87,1.45
32.94,33.57,1.18,-1.11,0.03,0.45,0.47,10.26,1.70
19.64,20.42,3.25,-2.15,0.06,0.41,0.59,7.33,5.20
7.81,22.08,1.85,-2.35,0.65,0.20,0.16,10.99,1.94
6.96,13.54,2.11,-3.38,0.57,0.38,0.21,6.76,2.57
12.08,12.90,2.00,-2.00,0.25,0.67,0.33,1.89,2.99
9.50,10.80,1.30,-1.20,0.75,0.67,0.33,1.06,1.45
0.55,14.03,15.50,-3.40,0.97,0.01,0.04,2.60,1.74
32.28,32.72,1.61,-2.18,0.02,0.54,0.39,9.47,3.44
24.97,36.34,2.10,-2.35,0.31,0.39,0.30,18.74,3.34
9.00,13.80,2.32,-1.74,0.58,0.55,0.45,4.64,2.46
5.32,16.98,2.31,-2.31,0.72,0.20,0.16,7.85,1.93
12.74,29.11,1.67,-1.45,0.57,0.22,0.24,15.40,1.33
23.97,31.86,1.41,-1.29,0.26,0.38,0.40,14.90,1.78
83.54,91.44,0.81,-1.18,0.09,0.47,0.32,29.54,1.85
18.47,18.73,1.22,-1.57,0.03,0.50,0.38,4.13,1.92
38.29,44.34,1.41,-1.31,0.14,0.43,0.33,17.42,1.96
7.40,10.25,1.08,-1.65,0.78,0.75,0.25,2.53,1.52
9.30,10.40,1.00,-1.50,0.75,0.67,0.33,1.00,1.70
4.02,10.20,2.06,-1.93,0.78,0.62,0.38,4.67,3.78
16.37,24.75,1.50,-2.59,0.35,0.42,0.23,12.60,2.37
11.42,19.63,1.14,-1.01,0.45,0.25,0.27,10.02,1.15
61.56,68.43,0.99,-0.89,0.10,0.40,0.39,25.95,1.32
10.57,12.28,3.50,-0.93,0.33,0.40,0.60,2.93,2.49
1.50,17.95,4.88,-2.83,0.93,0.07,0.05,4.69,1.77
0.85,14.90,4.35,-1.86,0.98,0.08,0.10,2.67,1.67
31.12,31.77,2.21,-1.59,0.03,0.41,0.49,8.00,2.65
8.03,10.40,2.20,-0.35,0.67,0.40,0.40,1.96,1.35
12.97,13.57,1.36,-1.30,0.12,0.71,0.29,2.12,1.91
14.16,14.52,1.08,-1.01,0.07,0.50,0.42,1.97,1.30
9.87,12.00,1.86,-1.67,0.45,0.50,0.40,2.81,1.96
11.58,19.05,1.81,-2.61,0.45,0.50,0.32,9.56,2.72
9.69,10.45,0.60,-0.43,0.71,0.50,0.50,0.64,0.63
3.53,19.31,1.38,-1.39,0.85,0.21,0.15,7.04,1.11
4.07,12.70,1.91,-1.40,0.83,0.36,0.32,4.64,1.66
12.29,15.10,2.35,-1.55,0.33,0.43,0.57,4.71,2.39
23.88,25.10,0.92,-1.22,0.07,0.53,0.32,6.75,1.67
0.95,10.90,2.73,0.0,0.97,0.11,0.00,2.81,1.08
3.38,10.20,2.53,-2.03,0.95,0.37,0.37,3.66,2.86
58.06,61.56,1.32,-1.33,0.06,0.44,0.41,21.15,2.05
2.14,16.98,2.17,-2.02,0.90,0.10,0.09,5.32,1.17
12.37,12.98,2.75,-1.20,0.17,0.40,0.60,1.94,2.19
8.53,10.00,1.45,-0.93,0.83,0.40,0.60,1.38,1.70
21.94,32.93,1.44,-2.16,0.34,0.41,0.26,17.93,2.29
28.99,30.36,1.66,-1.32,0.06,0.45,0.51,8.73,1.86
21.43,27.72,1.44,-1.24,0.27,0.45,0.44,11.72,1.97
25.99,29.69,1.79,-1.67,0.13,0.42,0.39,12.85,2.61
30.49,41.61,1.62,-2.24,0.27,0.47,0.30,22.71,2.01
5.80,10.30,1.43,-0.83,0.91,0.60,0.30,2.95,1.21
10.48,17.25,1.95,-1.61,0.44,0.35,0.38,8.39,2.15
56.47,66.14,1.51,-1.25,0.15,0.33,0.39,34.20,3.21
12.88,16.53,1.60,-0.67,0.47,0.44,0.50,4.51,1.47
35.08,39.77,1.47,-3.33,0.13,0.71,0.29,18.11,2.81
8.55,10.78,0.65,-0.59,0.85,0.46,0.38,1.34,0.76
17.26,17.74,1.26,-1.37,0.05,0.47,0.41,4.46,1.54
13.34,14.35,1.20,-1.11,0.18,0.44,0.44,2.61,1.48
1.95,21.04,3.02,-4.54,0.91,0.07,0.04,6.19,1.30
9.66,10.70,0.95,-0.55,0.80,0.50,0.50,0.74,0.89
18.73,20.29,1.24,-0.41,0.11,0.50,0.38,5.40,1.11
53.79,70.03,0.89,-1.08,0.24,0.40,0.33,33.34,1.23
12.85,12.96,4.80,-3.40,0.03,0.03,0.03,1.33,0.95
23.66,25.40,0.93,-1.08,0.09,0.53,0.39,9.53,1.31
12.43,13.10,1.03,-1.04,0.17,0.55,0.45,2.13,1.48
18.77,28.07,2.27,-2.28,0.33,0.36,0.31,14.64,3.30
9.73,10.20,0.50,0.0,0.67,1.00,0.00,0.50,0.14
39.12,40.41,1.28,-1.84,0.04,0.60,0.39,15.09,2.07
5.29,13.58,3.80,-2.34,0.71,0.25,0.31,6.25,2.85
10.86,25.62,1.74,-2.35,0.59,0.31,0.19,13.25,1.72
22.13,24.90,1.83,-2.82,0.14,0.67,0.33,8.81,2.60
7.01,12.50,1.29,-0.50,0.80,0.78,0.11,3.11,1.27
5.94,29.60,2.42,-3.19,0.80,0.15,0.06,12.34,1.53
20.47,21.87,1.64,-2.08,0.07,0.57,0.36,8.05,2.28
11.60,22.05,2.22,-2.03,0.50,0.30,0.31,11.25,2.07
25.06,30.97,2.18,-1.73,0.19,0.35,0.44,15.41,3.23
7.47,14.48,2.83,-4.50,0.55,0.60,0.20,7.37,4.49
23.52,31.04,1.18,-0.34,0.24,0.41,0.24,14.56,1.13
0.43,12.30,12.30,-7.00,0.98,0.02,0.02,2.09,2.15
6.84,26.49,2.42,-1.95,0.74,0.17,0.09,11.98,1.45
28.85,29.82,1.45,-1.29,0.04,0.46,0.51,9.14,1.89
5.75,13.30,3.13,-1.50,0.92,0.27,0.36,2.83,3.27
10.01,31.82,2.82,-1.77,0.74,0.21,0.31,13.98,3.71
10.37,14.89,1.83,-1.19,0.47,0.50,0.50,5.21,2.21
18.19,24.48,1.42,-1.89,0.30,0.56,0.36,10.75,2.01
15.90,17.63,1.17,-1.64,0.20,0.58,0.37,4.77,1.88
25.27,35.64,1.04,-2.15,0.30,0.54,0.19,19.32,1.52
28.26,40.46,1.23,-1.79,0.31,0.41,0.26,24.05,3.23
30.05,31.39,2.11,-3.13,0.05,0.57,0.31,11.70,4.16
19.96,46.66,2.00,-2.18,0.59,0.28,0.26,23.99,2.22
32.49,32.60,1.29,-2.07,0.01,0.59,0.35,9.83,2.61
4.11,28.10,2.47,-0.88,0.85,0.09,0.05,10.18,1.13
9.91,35.57,4.57,-1.87,0.73,0.11,0.23,15.97,3.59
1.86,21.43,1.60,-1.61,0.93,0.09,0.07,5.77,0.82
15.44,20.16,1.61,-1.49,0.25,0.47,0.27,11.20,1.87
27.22,30.52,1.51,-1.17,0.11,0.67,0.26,13.86,2.27
9.90,26.40,2.64,-3.18,0.63,0.25,0.17,13.52,2.91
28.56,29.49,1.06,-2.00,0.05,0.65,0.32,8.44,2.02
30.13,30.56,1.54,-1.67,0.02,0.49,0.45,9.19,2.05
30.84,33.28,1.67,-2.35,0.09,0.56,0.35,11.49,2.48
13.60,13.86,0.60,-0.62,0.07,0.57,0.29,1.38,0.82
3.26,24.32,2.60,-2.98,0.88,0.11,0.09,8.36,1.57
31.03,38.27,1.27,-1.20,0.19,0.39,0.39,16.78,1.61
13.22,21.23,1.09,-0.87,0.44,0.36,0.42,9.52,1.22
10.63,11.40,2.80,-1.00,0.33,0.50,0.50,1.42,2.69
14.49,16.04,1.87,-1.79,0.14,0.55,0.40,4.59,2.39
19.24,30.08,1.57,-2.16,0.37,0.41,0.23,15.25,2.21
22.29,22.65,1.41,-1.48,0.03,0.54,0.40,5.98,1.84
1.15,20.08,4.43,-2.17,0.96,0.05,0.07,4.15,1.62
9.84,10.43,0.63,0.0,0.40,0.75,0.00,0.86,0.37
11.33,11.63,1.60,-1.27,0.14,0.50,0.50,1.28,1.68
9.06,12.48,1.61,-1.29,0.43,0.45,0.45,4.95,2.59
24.92,49.89,1.89,-1.53,0.50,0.22,0.26,28.15,4.22
1.16,13.05,2.70,-1.65,0.97,0.07,0.09,3.08,1.02
29.99,51.94,1.70,-2.70,0.43,0.36,0.22,28.88,2.00
13.96,18.26,1.16,-0.61,0.27,0.27,0.46,7.51,2.13
18.95,39.04,2.18,-2.84,0.52,0.27,0.18,20.74,2.31
24.07,36.36,1.45,-2.97,0.35,0.62,0.06,18.47,1.56
30.82,31.49,0.93,-1.45,0.03,0.58,0.36,10.15,1.48
2.86,13.45,1.00,-1.03,0.91,0.28,0.25,4.10,0.96
17.65,18.25,0.79,-0.76,0.07,0.44,0.42,4.24,0.92
6.71,27.76,2.37,-3.30,0.76,0.15,0.10,12.46,1.74
10.00,10.95,3.10,-1.20,0.50,0.33,0.67,1.31,2.50
41.39,56.79,2.02,-1.68,0.27,0.35,0.38,27.39,3.33
2.39,11.00,1.64,-1.29,0.94,0.19,0.21,3.51,1.34
31.64,38.61,1.60,-1.16,0.18,0.34,0.45,17.02,1.92
56.86,68.39,1.12,-1.20,0.17,0.43,0.36,30.21,1.98
8.68,17.45,2.40,-5.20,0.57,0.77,0.08,8.94,3.20
18.90,25.16,1.93,-2.38,0.27,0.46,0.36,11.98,2.59
46.07,52.23,1.30,-1.20,0.12,0.41,0.44,24.36,1.58
20.56,27.35,1.47,-1.04,0.25,0.36,0.41,13.79,1.52
6.75,10.00,1.87,-1.25,0.83,0.60,0.40,2.26,1.96
23.20,55.70,2.15,-2.36,0.59,0.27,0.22,30.14,2.13
13.47,24.58,1.50,-2.36,0.46,0.37,0.23,13.14,1.93
47.00,54.08,0.97,-1.19,0.13,0.45,0.34,22.90,1.82
2.36,10.10,2.52,-1.24,0.95,0.21,0.26,3.34,1.46
45.27,48.68,0.90,-1.49,0.07,0.50,0.29,15.34,2.89
8.60,10.20,1.50,-0.80,0.75,0.67,0.33,1.30,1.36
10.42,10.60,0.65,-1.10,0.25,0.67,0.33,0.57,1.01
39.74,48.40,1.39,-1.95,0.18,0.48,0.34,22.95,2.15
32.84,42.78,1.56,-1.89,0.23,0.41,0.33,20.43,2.17
9.95,10.50,1.10,0.0,0.50,1.00,0.00,0.78,0.00
27.97,37.09,1.32,-1.45,0.26,0.41,0.35,17.17,1.79
28.72,30.12,1.51,-1.08,0.05,0.41,0.53,11.38,1.80
30.73,37.38,1.47,-1.35,0.18,0.40,0.40,17.42,1.94
6.99,10.73,1.27,-1.38,0.80,0.50,0.43,2.86,1.51
1.30,10.93,2.28,-2.57,0.94,0.08,0.06,3.37,1.37
47.90,48.34,1.35,-1.94,0.01,0.58,0.37,16.30,2.45
15.92,22.12,3.11,-1.31,0.29,0.30,0.41,10.41,3.46
29.18,43.52,1.34,-1.36,0.33,0.33,0.31,23.22,1.63
38.13,44.67,1.11,-1.60,0.15,0.49,0.32,20.98,1.77
21.65,22.02,1.37,-1.50,0.03,0.49,0.43,6.36,1.73
49.82,50.36,1.21,-1.54,0.01,0.53,0.41,16.82,3.28
48.30,53.54,1.27,-2.22,0.10,0.57,0.32,21.82,2.22
1.99,13.59,2.53,-1.26,0.87,0.08,0.11,4.75,1.38
14.35,20.31,2.12,-1.45,0.43,0.44,0.44,7.93,2.02
35.12,37.57,1.34,-1.20,0.08,0.45,0.47,15.46,1.73
23.46,27.01,1.80,-2.38,0.18,0.55,0.39,14.30,2.39
26.04,26.35,1.11,-1.61,0.02,0.56,0.36,6.91,1.73
14.57,39.58,3.94,-1.32,0.63,0.18,0.16,19.26,4.35
33.72,36.36,1.37,-1.74,0.08,0.52,0.40,13.23,2.11
42.78,43.21,0.95,-0.92,0.01,0.47,0.48,11.19,1.27
11.34,13.56,1.13,-1.05,0.44,0.40,0.40,2.91,1.40
1.59,10.10,1.40,-0.96,0.99,0.15,0.21,2.55,0.91
8.21,10.35,1.32,-1.50,0.75,0.57,0.43,2.01,1.70
17.29,30.56,1.89,-1.60,0.45,0.33,0.36,16.49,1.89
0.81,10.20,1.13,-3.07,0.99,0.08,0.03,2.31,0.68
12.97,24.91,2.78,-1.70,0.49,0.22,0.34,13.31,2.27
26.87,45.21,1.44,-1.94,0.41,0.35,0.24,23.82,2.28
23.91,39.10,0.97,-2.45,0.39,0.44,0.15,20.98,2.13
12.42,17.17,1.34,-0.90,0.33,0.30,0.38,7.28,1.47
9.93,10.10,0.50,0.0,0.33,0.50,0.00,0.29,0.35
24.01,25.71,1.94,-1.76,0.10,0.46,0.50,8.84,2.28
3.20,11.05,2.83,-0.89,0.91,0.18,0.41,3.81,1.44
16.72,40.75,1.80,-2.28,0.59,0.24,0.15,21.17,2.12
11.93,15.00,2.30,-1.10,0.44,0.75,0.25,4.65,1.82
1.48,19.07,1.98,-2.22,0.93,0.06,0.04,5.00,1.03
9.73,12.05,2.85,-1.20,0.67,0.40,0.60,2.01,2.33
7.29,15.14,1.06,-0.85,0.66,0.43,0.43,6.16,1.19
3.79,10.45,1.31,-1.06,0.92,0.42,0.33,3.38,1.65
3.76,25.37,1.83,-2.25,0.87,0.12,0.09,8.90,1.24
9.90,10.50,1.20,0.0,0.50,1.00,0.00,0.85,0.00
19.41,24.12,1.71,-1.26,0.26,0.44,0.49,9.20,1.84
18.61,18.78,2.49,-2.48,0.02,0.15,0.08,2.58,1.45
7.03,10.85,1.00,-1.08,0.87,0.50,0.36,2.15,1.30
10.96,11.78,0.77,-0.73,0.27,0.60,0.40,1.56,1.06
6.12,17.45,1.86,-1.21,0.74,0.24,0.30,7.41,1.43
4.70,21.90,3.24,-4.80,0.80,0.23,0.03,9.10,1.93
1.14,13.20,2.92,-4.67,0.96,0.17,0.07,3.11,2.51
13.20,21.27,7.48,-2.80,0.38,0.06,0.09,10.52,3.14
10.26,22.08,2.25,-0.92,0.63,0.54,0.38,10.23,2.09
46.09,47.05,1.07,-1.29,0.02,0.52,0.38,13.65,1.53
28.94,36.22,1.25,-1.34,0.21,0.43,0.39,16.05,1.49
21.58,22.65,3.16,-1.74,0.08,0.38,0.58,5.99,3.36
16.61,30.56,1.69,-1.40,0.46,0.28,0.24,16.43,1.65
12.61,13.05,1.08,-0.95,0.13,0.43,0.43,1.59,1.34
32.57,46.17,1.37,-2.04,0.30,0.42,0.27,23.71,2.15
1.39,12.17,0.84,-0.98,0.97,0.18,0.14,2.67,0.67
1.95,17.00,5.95,-3.06,0.90,0.06,0.10,5.36,1.85
14.40,36.72,0.97,-1.14,0.64,0.35,0.25,17.71,1.12
7.87,11.10,1.80,-1.25,0.83,0.60,0.40,1.96,1.91
9.26,11.70,2.37,-1.15,0.50,0.43,0.57,2.80,2.07
62.29,65.96,1.59,-3.20,0.06,0.43,0.19,26.89,5.16
9.81,24.01,2.58,-1.96,0.59,0.21,0.21,12.29,1.98
16.13,26.38,3.35,-3.47,0.42,0.44,0.40,13.46,5.64
22.95,28.80,1.71,-1.95,0.21,0.49,0.39,13.84,2.49
11.36,30.74,2.71,-1.51,0.64,0.17,0.21,15.25,1.73
13.05,17.40,6.27,0.0,0.25,1.00,0.00,8.77,8.52
10.04,32.65,1.83,-1.98,0.72,0.18,0.14,14.98,1.61
13.76,15.76,1.38,-2.22,0.29,0.62,0.31,3.84,2.00
21.01,24.91,1.73,-2.19,0.19,0.55,0.41,9.53,2.55
2.65,12.06,1.62,-1.22,0.91,0.15,0.18,4.21,1.06
17.03,39.72,1.68,-2.75,0.57,0.27,0.16,20.85,1.98
47.01,52.18,1.21,-1.27,0.10,0.43,0.39,22.52,1.94
23.61,43.33,4.53,-2.39,0.46,0.21,0.36,22.63,6.61
2.89,12.65,2.74,-2.77,0.85,0.19,0.15,4.87,1.98
7.43,16.65,2.68,-1.83,0.61,0.26,0.36,7.84,2.68
2.27,10.27,1.03,-0.94,0.98,0.18,0.17,3.28,0.86
7.50,10.50,1.87,-1.10,0.80,0.75,0.25,2.33,1.58
1.26,13.01,2.49,-1.89,0.95,0.10,0.10,3.27,1.08
5.75,16.43,1.25,-1.12,0.70,0.31,0.28,7.29,1.20
23.32,28.61,1.18,-1.20,0.20,0.50,0.31,13.28,1.61
23.43,40.06,2.19,-2.36,0.43,0.44,0.35,20.10,6.02
8.57,10.10,0.72,-0.60,0.83,0.80,0.20,1.00,0.68
19.20,24.79,2.57,-2.14,0.35,0.47,0.53,9.63,4.52
12.56,13.66,0.97,-0.96,0.13,0.53,0.42,3.21,1.33
11.81,14.15,1.52,-1.64,0.27,0.56,0.44,4.70,1.96
31.06,34.64,2.06,-1.17,0.11,0.36,0.50,13.43,2.12
20.15,35.49,2.29,-1.74,0.47,0.32,0.41,19.26,3.86
34.07,35.83,2.21,-0.84,0.07,0.69,0.31,9.19,4.62
49.56,49.88,1.29,-1.42,0.01,0.53,0.42,14.89,2.77
22.30,37.77,1.15,-1.53,0.41,0.34,0.24,20.04,1.65
41.13,41.90,3.66,-5.63,0.02,0.58,0.34,11.69,6.65
12.49,13.76,2.80,-2.20,0.29,0.50,0.50,3.14,3.00
25.75,32.91,1.60,-1.38,0.22,0.38,0.41,16.17,1.83
10.54,19.35,1.67,-1.49,0.47,0.26,0.28,9.93,1.79
10.71,11.08,0.83,-0.80,0.29,0.67,0.33,0.89,1.15
10.45,10.58,1.05,-0.85,0.17,0.40,0.40,0.54,0.98
10.56,25.23,2.79,-3.63,0.58,0.29,0.14,13.36,2.92
17.45,20.84,1.72,-1.36,0.18,0.43,0.46,8.84,2.18
22.69,27.39,1.88,-1.16,0.18,0.33,0.48,12.16,2.03
15.76,16.88,1.76,-1.88,0.13,0.57,0.43,4.72,2.09
19.73,20.53,1.70,-1.34,0.06,0.45,0.52,5.99,1.87
2.98,20.07,2.11,-1.23,0.87,0.11,0.13,6.88,1.11
24.60,39.36,1.33,-2.76,0.38,0.49,0.19,21.24,1.85
21.58,25.86,6.48,0.0,0.17,1.00,0.00,12.15,5.72
12.77,13.09,1.60,-1.53,0.10,0.44,0.44,1.55,1.79
9.92,16.43,4.54,-1.83,0.42,0.22,0.47,8.37,4.44
42.54,44.68,1.28,-1.03,0.05,0.44,0.46,15.87,1.72
30.86,30.90,2.78,-3.59,0.00,0.09,0.06,6.28,1.86
11.68,15.24,1.67,-1.82,0.42,0.61,0.22,4.76,1.89
9.87,10.10,0.70,0.0,0.33,0.50,0.00,0.40,0.49
35.50,44.03,2.77,-2.91,0.20,0.39,0.35,20.48,4.74
9.56,11.75,1.37,-0.93,0.57,0.46,0.54,2.24,1.44
13.78,14.68,1.19,-1.42,0.15,0.55,0.42,3.21,1.64
3.77,12.23,2.32,-3.67,0.83,0.35,0.18,5.04,2.83
27.61,37.74,1.49,-1.21,0.28,0.45,0.29,18.70,1.71
0.65,13.75,4.76,-1.80,0.95,0.02,0.03,2.97,1.04
11.24,33.73,36.40,-3.10,0.67,0.12,0.25,16.94,13.27
37.99,41.69,1.41,-2.39,0.09,0.58,0.34,17.61,2.48
14.30,28.40,28.20,0.0,0.50,0.33,0.00,16.28,16.28
50.60,51.98,1.40,-1.39,0.03,0.35,0.30,15.47,2.79
20.73,21.31,1.87,-1.84,0.05,0.53,0.47,6.29,2.62
11.04,14.21,1.77,-1.70,0.43,0.54,0.46,4.49,2.21
23.81,29.59,1.24,-1.87,0.21,0.48,0.31,13.39,1.83
2.50,28.76,8.03,-3.44,0.92,0.04,0.07,8.10,3.41
19.41,29.78,1.69,-1.40,0.36,0.34,0.36,15.33,1.91
15.75,16.32,1.57,0.0,0.08,0.91,0.00,5.03,1.13
10.95,12.20,2.50,0.0,0.50,1.00,0.00,1.77,0.00
10.15,10.75,0.57,0.0,0.50,1.00,0.00,0.75,0.12
52.60,53.48,1.01,-1.35,0.02,0.56,0.41,15.68,1.75
32.02,33.21,1.62,-1.67,0.05,0.49,0.46,10.87,2.04
24.17,32.23,11.50,0.0,0.25,1.00,0.00,16.26,15.53
28.74,33.72,1.63,-1.93,0.17,0.55,0.40,13.66,2.41
7.56,22.22,1.73,-1.70,0.67,0.21,0.18,10.99,1.44
42.26,46.95,1.25,-1.59,0.10,0.51,0.35,18.66,2.24
15.40,36.34,1.69,-2.35,0.58,0.25,0.17,19.74,3.00
5.76,14.83,1.45,-1.22,0.68,0.28,0.32,6.87,1.44
9.95,11.10,2.30,0.0,0.50,1.00,0.00,1.63,0.00
2.16,12.86,1.28,-1.14,0.96,0.22,0.22,3.46,1.05
8.75,10.35,0.82,-0.90,0.75,0.57,0.29,1.20,0.91
6.35,12.62,2.36,-1.37,0.59,0.33,0.33,5.92,2.18
23.96,35.40,0.81,-0.87,0.32,0.33,0.27,17.71,1.25
12.09,34.65,1.47,-1.34,0.66,0.19,0.20,17.11,1.22
4.76,11.70,1.40,-1.10,0.96,0.36,0.42,3.14,1.52
24.20,29.11,1.89,-2.17,0.17,0.44,0.37,12.33,3.00
91.95,92.69,0.65,-0.71,0.01,0.44,0.41,24.70,2.61
28.09,36.91,1.53,-2.57,0.27,0.60,0.31,17.69,2.78
4.72,18.23,2.17,-2.06,0.75,0.15,0.12,8.10,1.49
8.86,16.50,1.05,-0.90,0.47,0.26,0.24,8.27,1.06
16.06,35.15,2.27,-1.90,0.54,0.21,0.22,18.15,2.78
10.33,11.07,1.33,0.0,0.25,1.00,0.00,1.71,0.49
22.75,23.35,6.68,-2.86,0.04,0.25,0.33,5.01,5.76
24.48,27.38,1.33,-2.30,0.15,0.65,0.30,9.22,3.86
17.66,21.13,2.69,-2.28,0.24,0.50,0.50,7.74,3.31
22.09,32.57,1.50,-1.69,0.32,0.34,0.30,16.49,2.65
49.16,75.53,9.36,-3.44,0.35,0.18,0.46,40.41,12.53
11.77,13.30,1.32,-1.27,0.33,0.62,0.38,2.56,1.71
45.33,49.69,2.90,-3.49,0.10,0.53,0.43,20.45,7.26
25.58,31.16,2.86,-2.50,0.19,0.47,0.47,13.83,4.00
4.85,25.81,2.42,-2.19,0.81,0.13,0.06,10.20,1.51
10.15,30.35,2.21,-2.35,0.67,0.20,0.17,14.83,1.70
2.64,10.65,1.01,-1.10,0.97,0.31,0.27,2.75,1.43
58.33,59.34,2.43,-2.26,0.02,0.47,0.50,18.74,5.74
7.58,10.40,1.48,-4.00,0.88,0.86,0.14,1.77,2.44
2.52,15.67,0.95,-1.04,0.85,0.12,0.09,5.60,0.66
17.35,32.08,1.41,-1.59,0.53,0.52,0.33,15.24,1.93
9.84,23.61,1.56,-0.92,0.61,0.25,0.29,12.46,1.86
14.49,20.20,8.90,-0.60,0.33,0.14,0.14,8.37,4.43
17.65,18.52,4.66,-3.40,0.06,0.31,0.12,4.76,3.28
24.48,29.10,28.80,-2.30,0.20,0.11,0.67,10.96,10.27
36.78,37.79,2.69,-1.54,0.03,0.49,0.48,11.42,4.95
27.25,32.11,1.28,-1.12,0.15,0.40,0.34,13.73,1.62
9.56,12.45,2.45,-2.75,0.43,0.67,0.33,3.95,3.14
13.86,13.99,1.57,-1.88,0.03,0.53,0.36,2.02,2.32
21.20,29.13,2.89,-1.13,0.29,0.26,0.63,14.35,3.58
24.54,32.29,2.11,-1.80,0.26,0.37,0.42,15.15,2.22
13.62,19.14,1.13,-0.87,0.44,0.61,0.29,7.03,1.22
49.70,53.47,1.57,-3.14,0.07,0.60,0.29,21.11,4.23
31.85,34.13,1.36,-1.51,0.08,0.53,0.44,13.34,1.71
2.75,10.30,0.81,-0.93,0.98,0.26,0.22,3.06,0.84
22.49,39.92,2.27,-4.29,0.45,0.48,0.23,22.30,3.40
26.11,30.35,1.42,-1.42,0.18,0.53,0.45,12.48,1.72
14.97,26.63,1.35,-1.03,0.44,0.26,0.29,13.70,1.34
4.84,10.63,2.20,-3.13,0.73,0.50,0.30,4.87,3.40
9.65,10.80,2.30,0.0,0.50,1.00,0.00,1.63,0.00
8.03,28.75,3.37,-2.06,0.79,0.28,0.38,11.83,3.81
26.25,38.60,1.54,-1.49,0.32,0.44,0.25,19.45,2.13
21.05,22.32,1.43,-1.74,0.09,0.53,0.40,6.82,1.80
1.43,15.30,6.20,0.0,0.91,0.10,0.00,4.62,2.24
0.56,10.20,1.17,-1.20,0.99,0.09,0.08,1.75,0.69
40.51,40.87,1.17,-1.07,0.01,0.45,0.48,11.03,1.53
20.75,21.58,3.71,-3.54,0.06,0.50,0.44,6.19,4.27
22.01,41.96,4.49,-2.17,0.48,0.19,0.36,21.67,5.98
3.21,10.10,0.89,-0.99,0.98,0.42,0.36,2.74,1.17
8.50,10.70,1.57,-1.10,0.67,0.60,0.40,1.92,1.74
2.79,12.81,2.42,-1.57,0.81,0.12,0.13,5.15,1.40
29.99,31.66,1.65,-1.61,0.06,0.51,0.37,11.52,2.39
22.96,27.02,2.03,-3.12,0.21,0.61,0.33,11.06,3.02
20.19,23.34,1.57,-1.08,0.14,0.37,0.50,9.22,2.65
14.86,16.20,1.95,-1.86,0.14,0.50,0.44,3.98,2.58
6.56,12.63,1.03,-0.70,0.69,0.57,0.25,5.23,1.09
